Item,Frase,Juiz 1,Juiz 2,Juiz 3,Mediana (peso final)
1,A universidade se distancia da realidade do mercado de trabalho ao focar demais em teoria.,2,1,4,2
2,As disciplinas devem focar mais em projetos práticos do que em aulas teóricas.,2,1,4,2
3,É responsabilidade da universidade garantir que os alunos saiam preparados para o mercado de trabalho.,4,6,3,4
4,Uma formação sólida em teoria permite que um profissional se adapte a qualquer desafio futuro.,10,10,9,10
5,Teorias e conceitos fundamentais é mais importante do que habilidades práticas,11,9,10,10
